1369 Coffee House,757 Massachusetts Ave.,Central Square,Cambridge ,,,
1369 Coffee House,1369 Cambridge St.,Inman Square,Cambridge ,,,
730 Tavern,730 Massachusetts Ave., Central Square,Cambridge ,,,
Roxy’s Arcade,292 Massachusetts Ave.,Cambridgeport near Central Square,,,,
Abigail Adams Institute,14 Arrow St.,Harvard Square,,,,
Accurate Records,343 Medford St.,Winter Hill,Somerville,,,
Adolphus Busch Hall,29 Kirkland St.,Baldwin,Cambridge,,,
Aeronaut Brewing,14 Tyler St.,near Union Square in Ward 2,Somerville,,,
Agassiz Theatre,5 James St.,Harvard Square,Cambridge,,,
Amba,57-59 First St.,East Cambridge,,,,
Anthony Greaney,438 Somerville Ave.,Ward 2,Somerville,,,
Arrow Street Arts, 2 Arrow St.,Harvard Square,Cambridge,,,
Arthur & Elizabeth Schlesinger Library, 3 James St., Harvard Square,Cambridge,,,
Arthur D. Healey School,167 Holland St.,Tufts neighborhood near Teele Square,Somerville,,,
Baldwin Community,20 Sacramento St.,Baldwin neighborhood near Porter Square,Cambridge ,,,
Baldwin Park,222 Jacobs St.,North Point,Cambridge ,,,
Baldwin Theater at Baldwin House,5 James St.,Harvard Square,Cambridge ,,,
Acropolis Boston,on the second floor  of 2000 Massachusetts Ave.,Porter Square,Cambridge ,,,
Aidekman Arts Center at Tufts University,40 Talbot Ave.,near Powder House Square,Somerville,,,
Aircraft Aerial Arts,14 Tyler St.,between Porter and Union squares in Somerville,,,,
Alewife Linear Park,North Cambridge,,,,,
All She Wrote Books,75 Washington St.,East Somerville,,,,
American Legion Marsh Post 442 at 1 Gerry’s Landing,Cambridge  ,,,,,
AMC Assembly Row 12,395 Artisan Way,Assembly Square,Somerville,,,
American Legion Marsh Post,5 Greenough Blvd.,West Cambridge,,,,
Amigos School,15 Upton St.,Cambridgeport,,,,
Andala Cafe,286 Franklin St.,Central Square,Cambridge ,,,
Apple Cinemas Cambridge,168 Alewife Brook Parkway,Cambridge Highlands near Alewife and Fresh Pond,,,,
Area IV Youth Center at 243 Harvard St.,near Central Square,Cambridge ,,,,
Armageddon Shop,12 Eliot St. B,Harvard Square,Cambridge ,,,
A.R.T. at Harvard University,64 Brattle St.,Harvard Square,Cambridge ,,,
Arts at the Armory,191 Highland Ave.,Spring Hill,Somerville,,,
ARTFarm,10 Poplar St.,near Union Square,Somerville,,,
Assembly Row,300 Grand Union Blvd.,Somerville ,,,,
Assembly Row,340 Canal St.,Assembly Square,Somerville,,,
Bantam Cider,40 Merriam St., Inner Belt neighborhood near Union Square,Somerville,,,
Harvard University’s Barker Center,12 Quincy St.,Harvard Square,Cambridge ,,,
Belfer Center for Science and International Affairs at the John F. Kennedy School of Government,79 JFK St.,Harvard Square,Cambridge ,,,
Bergin Park,80 Haskell St.,North Cambridge,,,,
Bicentennial Park,Massachusetts Avenue and Route 16,North Cambridge,,,,
Big Dig Records,2325 Massachusetts Ave.,North Cambridge ,,,,
Blessing of the Bay Boathouse,32 Shore Drive,Ten Hill,Somerville,,,
Bloc Cafe,11 Bow St.,Union Square,Somerville,,,
Guild Church (formerly Boston Brunch Church),204 Elm St.,Davis Square,North Cambridge,,,
Boston Figure Art Center, 285 Washington St., Union Square,Somerville,,,
Boston Swing Central,26 New St.,Suite 3,Cambridge,,,
Bow Market,1 Bow Market Way,Union Square,Somerville,,,
Boynton Yards,Zero Windsor Place,Somerville,,,,
Massachusetts Institute of Technology’s Bush Building,105 Massachusetts Ave.,Area II,Cambridge,,,
Lesley University’s Brattle Lawn,99 Brattle St.,West Cambridge near Harvard Square,,,,
Brattle Plaza,Harvard Square,Cambridge,,,,
The Brattle Theatre,40 Brattle St.,Harvard Square,Cambridge,,,
Brickbottom Artists Building,1 Fitchburg St.,Inner Belt,Somerville,,,
Bridge Gallery,5 Pemberton St.,North Cambridge,,,,
Bridge Sound and Stage,18 Edmunds St.,North Cambridge,,,,
Brooklyn Boulders Somerville,12 Tyler St.,near Union Square,Somerville,,,
Bryn Mawr Bookstore,373 Huron Ave.,Huron Village in West Cambridge,,,,
Buckingham Browne & Nicholas Lower School,19 Craigie St.,West Cambridge,,,,
Bull McCabe’s,366 Somerville Ave.,Union Square,Somerville,,,
Burren,247 Elm St.,Davis Square,Somerville,,,
CAA@Canal,650 E. Kendall St.,Kendall Square,Cambridge ,,,
CAA@ University Place,124 Mount Auburn St.,Harvard Square,Cambridge,,,
